car_id,158,,,,
Part ID in Bumper,Part Name,Type,Price,Model year,
4,Front Bumper,TYP 1,12150,1999- 2007,
5,Rear Bumper,TYP 1,12600,1999- 2007,
1,Left Fender,TYP 1,7600,1999- 2007,
2,Right Fender,TYP 1,7600,1999- 2007,
10,Trunk,TYP 1,8550,1999- 2007,
3,Bonnet,TYP 1,13100,1999- 2007,
6,Left Front Door,TYP 1,21300,1999- 2007,
7,Right Front Door,TYP 1,21300,1999- 2007,
8,Left Rear Door,TYP 1,20450,1999- 2007,
9,Right Rear Door,TYP 1,20450,1999- 2007,
13,Left Running Board,,,,
14,Right Running Board,,,,
11,Left Quarter Panel,TYP 1,14650,1999- 2007,
12,Right Quarter Panel,TYP 1,14650,1999- 2007,
15,Roof,TYP 1,13100,1999- 2007,
33,Tow Cap,,,,
27,Door Handel,,,,
18,Side view mirror RH / LH,TYP 1,8850,1999- 2007,
60,Bumper Mount,,,,
21,Bumper Lining,,,,
42,Bumper Upper Grill,,,,
43,Bumper Lower Grill,,,,
32,Fog Lamp Right,C,1200,,
39,Fog Lamp Left,C,1200,,
61,Fog Lamp Cover with fog lamp Cut,C,75,,
62,Fog Lamp Cover without fog lamp Cut,C,75,,
63,Fog lamp Mount,,,,
31,Front Monogram,,,,
38,Headlight Right,TYP 1 - Manual,9450,1999- 2007,
38,Headlight Right,TYP 1 - electrical,12600,1999- 2007,
16,Headlight Left,TYP 1 - Manual,9450,1999- 2007,
16,Headlight Left,TYP 1 - electrical,12600,1999- 2007,
19,Taillight Right,TYP 1,4510,1999- 2007,
20,Taillight Left,TYP 1,4510,1999- 2007,
64,Sensors/Camera,,,,
65,Bumper Guard/Beading,,,,
66,Wheel Arch Lining,,,,
67,Indicator,,,,
40,Right Fender Indicator,,,,
41,Front Logo,,,,
44,Right Fender Monogram,,,,
68,Lock & Latch,,,,
69,Bonnet lining,,,,
70,Bonnet Mounts,,,,
30,Door beading,,,,
71,Door inner beading,,,,
72,Window beading,,,,
45,Window Glass,,,,
73,Window Glass Rubber Channel,,,,
74,Glass Beading,,,,
75,Window Glass Lift Channel,,,,
76,Power Window Switch,,,,
77,Window Manual Switch,,,,
78,Power Window Motor,,,,
79,Door Lock Mechanism,,,,
80,Central Locking Mechanism,,,,
81,Door Mounts,,,,
82,Fuel Cap,,,,
83,Wheel Arch Lining,,,,
84,Quarter glass,,,,
85,Quarter glass Beading,,,,
86,Trunk Door Lining,,,,
87,Trunk Door Beading,,,,
88,Back Logo,,,,
89,Trunk Door Glass,TYP 1,2420,1999- 2007,
22,Number Plate,,,,
90,Number plate Light,,,,
91,Inner Rubber Beading,,,,
36,Wiper,,,,
92,Wiper Blades,,,,
93,Wiper Scuffing,,,,
55,Mud Flaps,,,,
94,Wheel Caps,,,,
95,Alloy Wheels,,,,
96,Tires,,,,
97,After Market Fog Lamp,,,,
98,Interior Ambient Light,,,,
99,Bull Guard,,,,
100,After Market Antenna,,,,
101,Laser Cut Number Plates,,,,
46,Windshield,TYP 1,5350,1999- 2007,
